question,query,answer_mixtral7b,retrieve_data_mixtral7b,BLEU_score_mixtral7b,SQ_score_mixtral7b
Which viruses are mentioned in articles labeled as fake?,MATCH (a:Article {label: 'Fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)WHERE a.label = 'fake'RETURN v.name,0.0,0.6464063163291337,0
What are the most common symptoms mentioned in articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany'] RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 5","MATCH (:Location {country: 'Europe'})-[:AFFECTS]->(:Virus)<-[:ABOUT_VIRUS]-(:Article)-[:MENTIONS_SYMPTOM]->(symptom)RETURN symptom.name, count(symptom)ORDER BY count(symptom) DESC;",0.0,0.31174424270372386,0
What viruses are mentioned in articles labeled as fact?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)WHERE a.label = 'fact'RETURN DISTINCT v.name,0.0,0.6455714066623376,0
Which viruses affect both Mexico and the United Kingdom?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Mexico', 'United Kingdom'] RETURN DISTINCT v.name","MATCH (virus:Virus)-[:AFFECTS]->(location:Location)WHERE location.name IN ['Mexico', 'United Kingdom']WITH virus, COUNT(DISTINCT location.name) as affected_countWHERE affected_count = 2RETURN virus.name",0.0,0.3778903405210079,0
Which organizations are involved in viruses that affect multiple countries?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS country_count WHERE country_count > 1 RETURN o.name, country_count","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(c:Location)WITH o, collect(distinct c.country) as countriesWHERE size(countries) > 1RETURN o.name",1.0,0.5806313129220273,0
Which viruses affect both Africa and Asia?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'South Africa', 'China', 'India'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:AFFECTS]->(l:Location)WHERE l.country = 'Africa' OR l.country = 'Asia'WITH v, collect(DISTINCT l.country) as countriesWHERE size(countries) = 2RETURN v.name",0.0,0.46013983142496684,0
Which viruses cause both neurological and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Neurological' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,"MATCH (v:Virus)-[:CAUSES]->(s1:Symptom {name: 'neurological'}), (v)-[:CAUSES]->(s2:Symptom {name: 'gastrointestinal'})RETURN v.name",0.0,0.3258131463610588,0
Which articles mention viruses that affect both Brazil and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Brazil', 'United States'] RETURN DISTINCT a.url",,0.0,0.0,0
Which viruses are responsible for fever and rash symptoms in Mexico?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom), (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) WHERE s.name IN ['Fever', 'Rash'] RETURN DISTINCT v.name","MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name IN ['fever', 'rash']AND (virus)-[:AFFECTS]->(:Location {name: 'Mexico'})RETURN virus.name",1.0,0.5563468330742587,0
Which viruses cause symptoms related to skin issues?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Skin' RETURN DISTINCT v.name,MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name CONTAINS 'skin'RETURN virus.name,0.0,0.5167515490484926,0
Which viruses are spread by airborne transmission and cause respiratory symptoms?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:CAUSES]->(s:Symptom {name: 'Respiratory'}) RETURN DISTINCT v.name,The query does not generate!,0.0,0.0,0
Which organizations are involved in viruses affecting both Africa and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'Brazil'] RETURN DISTINCT o.name","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l1:Location {country: 'Africa'}),      (v)-[:AFFECTS]->(l2:Location {country: 'South America'})RETURN o.name",0.0,0.48480721845187874,0
