question,query,answer_llama37b,retrieve_data_llama37b,BLEU_score_llama37b,SQ_score_llama37b
Which viruses are mentioned in articles labeled as fake?,MATCH (a:Article {label: 'Fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,MATCH (a:Article {label: 'fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,0.0,0.8177482498436096,0
What are the most common symptoms mentioned in articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany'] RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 5",,0.0,0.0,0
What viruses are mentioned in articles labeled as fact?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article {label: 'fact'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,0.0,0.9061874434879645,0
Which viruses affect both Mexico and the United Kingdom?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Mexico', 'United Kingdom'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:AFFECTS]->(l1:Location {country: ""Mexico""})-[:AFFECTS]-(v)-[:AFFECTS]->(l2:Location {country: ""United Kingdom""}) RETURN v.name",0.0,0.2709900992574323,0
Which organizations are involved in viruses that affect multiple countries?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS country_count WHERE country_count > 1 RETURN o.name, country_count",The query does not generate!,0.0,0.0,0
Which viruses affect both Africa and Asia?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'South Africa', 'China', 'India'] RETURN DISTINCT v.name",MATCH (v:Virus)-[:AFFECTS]->(l1:Location {country: 'Africa'})<-[:AFFECTS]-(v)-[:AFFECTS]->(l2:Location {country: 'Asia'}) RETURN v.name;,0.0,0.2861922702971905,0
Which viruses cause both neurological and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Neurological' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,The query does not generate!,0.0,0.0,0
Which articles mention viruses that affect both Brazil and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Brazil', 'United States'] RETURN DISTINCT a.url","MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l1:Location {country: 'Brazil'})<-[:AFFECTS]-(v)-[:AFFECTS]->(l2:Location {country: 'United States'}) RETURN a.url, a.abstract, a.label",0.0,0.17498366120930592,0
Which viruses are responsible for fever and rash symptoms in Mexico?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom), (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) WHERE s.name IN ['Fever', 'Rash'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:CAUSES]->(s1:Symptom {name: 'fever'})-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_LOCATION]->(l:Location {country: 'Mexico'}),      (v)-[:CAUSES]->(s2:Symptom {name: 'rash'})-[:MENTIONS_SYMPTOM]-(a)RETURN v.name",0.0,0.34872751343569747,0
Which viruses cause symptoms related to skin issues?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Skin' RETURN DISTINCT v.name,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS ""skin"" RETURN v.name AS VirusName, s.name AS SymptomName",0.0,0.633385262609608,0
Which viruses are spread by airborne transmission and cause respiratory symptoms?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:CAUSES]->(s:Symptom {name: 'Respiratory'}) RETURN DISTINCT v.name,,0.0,0.0,0
Which organizations are involved in viruses affecting both Africa and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'Brazil'] RETURN DISTINCT o.name",MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l1:Location {country: 'Africa'})<-[:AFFECTS]-(v)-[:AFFECTS]->(l2:Location {country: 'South America'}) RETURN o.name,0.0,0.4388417827035395,0
