question,query,answer_llm_mixtral7b,retrieve_data_llm_mixtral7b,BLEU_score_llm_mixtral7b,SQ_score_llm_mixtral7b
Which viruses are mentioned in articles labeled as fake?,MATCH (a:Article {label: 'Fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article)-[:PUBLISHED_BY]->(org:Organization)WHERE a.label = 'fake'RETURN v.name,0.0,0.3989099943658873,0
What are the most common symptoms mentioned in articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany'] RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 5","MATCH (:Location {country: 'Europe'})-[:AFFECTS]->(:Virus)<-[:ABOUT_VIRUS]-(:Article)-[:MENTIONS_SYMPTOM]->(symptom)RETURN symptom.name, COUNT(symptom)ORDER BY COUNT(symptom) DESC;",0.0,0.3386569201359409,0
What viruses are mentioned in articles labeled as fact?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)WHERE a.label = 'fact'RETURN DISTINCT v.name,0.0,0.6455714066623376,0
Which viruses affect both Mexico and the United Kingdom?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Mexico', 'United Kingdom'] RETURN DISTINCT v.name",The query does not generate!,0.0,0.0,0
Which organizations are involved in viruses that affect multiple countries?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS country_count WHERE country_count > 1 RETURN o.name, country_count","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(location:Location)WITH o, v, collect(location.country) as countryListWHERE size(countryList) > 1RETURN o.name",1.0,0.5850648564403098,0
Which viruses affect both Africa and Asia?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'South Africa', 'China', 'India'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:AFFECTS]->(l:Location)WHERE l.country IN ['Africa', 'Asia']WITH v, collect(DISTINCT l.country) AS affectedCountriesWHERE size(affectedCountries) = 2RETURN v.name AS VirusName, affectedCountries AS AffectedCountries",0.0,0.46612281846119163,0
Which viruses cause both neurological and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Neurological' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,"MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name = 'neurological' OR symptom.name = 'gastrointestinal'WITH virus, collect(distinct symptom.name) as symptomsWHERE 'neurological' in symptoms AND 'gastrointestinal' in symptomsRETURN virus.name",0.0,0.28647020903547543,0
Which articles mention viruses that affect both Brazil and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Brazil', 'United States'] RETURN DISTINCT a.url",,0.0,0.0,0
Which viruses are responsible for fever and rash symptoms in Mexico?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom), (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) WHERE s.name IN ['Fever', 'Rash'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name IN ['fever', 'rash']MATCH (v)-[:AFFECTS]->(l:Location) WHERE l.name = 'Mexico'RETURN v.name",1.0,0.6926279080881457,0
Which viruses cause symptoms related to skin issues?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Skin' RETURN DISTINCT v.name,MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name CONTAINS 'skin'RETURN virus.name,0.0,0.5167515490484926,0
Which viruses are spread by airborne transmission and cause respiratory symptoms?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:CAUSES]->(s:Symptom {name: 'Respiratory'}) RETURN DISTINCT v.name,,0.0,0.0,0
Which organizations are involved in viruses affecting both Africa and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'Brazil'] RETURN DISTINCT o.name",The query does not generate!,0.0,0.0,0
